filename,geom_number,geom_max_strength,geom_energy_eV,geom_energy_nm,mode_num,modal_frequency_cm,m_displacement,m_frequency_rad,m_mass
Geometry-100-.log,100,1.3178956287,2.7266,454.77884544854396,2,8.6795,7.3027,133535506688892.78,3.821066384944e-27
Geometry-131-.log,131,1.4539865341,3.0344,408.64750856841545,3,9.7237,3.3353,165120915226809.75,2.312134559296e-27
Geometry-133-.log,133,1.1871508089,3.0819,402.34920016872707,4,11.7471,6.6226,165180984875291.22,2.310141912448e-27
Geometry-138-.log,138,1.1610554354,3.1713,391.00684261974584,2,8.6795,-6.3222,174812811126536.97,5.6076403380799996e-27
Geometry-136-.log,136,1.3395459687,3.1211,397.2958251898369,2,8.6795,4.6442,171766682830979.12,5.5207941462880004e-27
Geometry-137-.log,137,1.8271909829,3.1064,399.1758949266032,4,11.7471,4.4654,174784236132260.9,5.5536728192799996e-27
Geometry-132-.log,132,1.2186526607,3.1291,396.28008053433894,2,8.6795,3.4837,165127244296075.9,2.310141912448e-27
Geometry-1-.log,1,1.691957794,2.8816,430.3164908384231,1,7.3072,-7.5275,1376421873263.925,9.713157060576001e-27
Geometry-2-.log,2,0.809620089,3.0209,410.473699890761,1,7.3072,-3.8336,1634915377845.7192,9.704522257567999e-27
Geometry-59-.log,59,1.2251883113,3.167,391.5377328702242,1,7.3072,7.456,81514569498914.47,5.653471215583999e-27
Geometry-3-.log,3,1.7172565554,2.8874,429.4521022373069,4,11.7471,-4.8061,1831606274504.1091,1.1095057649664001e-26
Geometry-49-.log,49,1.3975559642,3.2283,384.10308831273426,1,7.3072,3.0359,64928904429665.98,1.0600050961840001e-26
Geometry-4-.log,4,1.0042728277,3.128,396.4194373401534,10,49.8773,-1.5427,2212744332633.383,9.878048587248e-27
Geometry-69-.log,69,1.6328226191,2.785,445.2423698384201,1,7.3072,-10.3648,94541640027203.08,6.115931338224e-27
Geometry-5-.log,5,0.7237341761,2.5619,484.01576954604,4,11.7471,8.6008,3340731400684.9434,1.1185723081248001e-26
Geometry-50-.log,50,1.4140251547,3.0295,409.30846674368706,4,11.7471,4.2953,68357300974293.48,1.0170303458287999e-26
Geometry-6-.log,6,1.3505503233,3.0632,404.8054322277357,5,17.7354,-4.4714,3434800959956.348,1.1195520261584001e-26
Geometry-60-.log,60,1.1847873035,3.3094,374.6902761829939,5,17.7354,-4.1936,81521143442884.38,5.6469951133279996e-27
Geometry-7-.log,7,1.6532455874,3.0938,400.80160320641284,3,9.7237,11.7555,5302121268176.633,1.0480658204864e-26
Geometry-51-.log,51,0.8970548737,3.1134,398.2784094559003,1,7.3072,8.2751,68396970676301.0,1.0171299781711999e-26
Geometry-8-.log,8,1.236268236,3.0575,405.56009811937855,3,9.7237,3.4607,5410092176014.776,1.0566342019327999e-26
Geometry-79-.log,79,1.6595476211,3.2108,386.1965865204933,4,11.7471,-6.5168,109001246408945.72,8.311828164719998e-27
Geometry-9-.log,9,0.8131686219,3.2105,386.23267403831176,4,11.7471,4.6228,8686289674003.719,9.990965241968e-27
Geometry-52-.log,52,1.2763710869,3.1625,392.09486166007906,1,7.3072,-3.9271,76580325381833.25,9.861775304656e-27
Geometry-10-.log,10,0.8698661093,2.7694,447.75041525240124,1,7.3072,-6.6831,9395145431813.389,9.789873964224001e-27
Geometry-61-.log,61,0.6147391533,3.2836,377.63430381288833,2,8.6795,-6.4405,81862404597333.72,9.471050468544001e-27
Geometry-11-.log,11,1.039198151,3.01,411.96013289036546,2,8.6795,3.6949,11133040040843.88,9.100252100912001e-27
Geometry-53-.log,53,1.3156158072,2.8153,440.4503960501545,2,8.6795,6.2715,78455104950260.08,1.0232739726192001e-26
Geometry-12-.log,12,1.2968998156,3.2849,377.4848549423118,3,9.7237,3.2378,11215054230084.508,9.376731851072e-27
Geometry-70-.log,70,1.5548532746,2.9102,426.08755411999175,2,8.6795,6.9977,95242414919788.98,6.030081469856e-27
Geometry-13-.log,13,1.6992962496,3.2114,386.1244317120259,2,8.6795,-3.5302,11986541402507.195,7.01411690496e-27
Geometry-54-.log,54,1.2431316367,3.1573,392.7406328191809,5,17.7354,4.0693,78465276668723.55,1.0227592055168e-26
